data,dowjones
20150923,16279.89
20150922,16330.47
20150921,16510.19
20150918,16384.58
20150917,16674.74
20150916,16739.95
20150915,16599.85
20150914,16370.96
20150911,16433.09
20150910,16330.40
20150909,16253.57
20150908,16492.68
20150904,16102.38
20150903,16374.76
20150902,16351.38
20150901,16058.35
20150831,16528.03
20150828,16643.01
20150827,16654.77
20150826,16285.51
20150825,15666.44
20150824,15871.35
20150821,16459.75
20150820,16990.69
20150819,17348.73
20150818,17511.34
20150817,17545.18
20150814,17477.40
20150813,17408.25
20150812,17402.51
20150811,17402.84
20150810,17615.17
20150807,17373.38
20150806,17419.75
20150805,17540.47
20150804,17550.69
20150803,17598.20
20150731,17689.86
20150730,17745.98
20150729,17751.39
20150728,17630.27
20150727,17440.59
20150724,17568.53
20150723,17731.92
20150722,17851.04
20150721,17919.29
20150720,18100.41
20150717,18086.45
20150716,18120.25
20150715,18050.17
20150714,18053.58
20150713,17977.68
20150710,17760.41
20150709,17548.62
20150708,17515.42
20150707,17776.91
20150706,17683.58
20150702,17730.11
20150701,17757.91
20150630,17619.51
20150629,17596.35
20150626,17946.68
20150625,17890.36
20150624,17966.07
20150623,18144.07
20150622,18119.78
20150619,18015.95
20150618,18115.84
20150617,17935.74
20150616,17904.48
20150615,17791.17
20150612,17898.84
20150611,18039.37
20150610,18000.40
20150609,17764.04
20150608,17766.55
20150605,17849.46
20150604,17905.58
20150603,18076.27
20150602,18011.94
20150601,18040.37
20150529,18010.68
20150528,18126.12
20150527,18162.99
20150526,18041.54
20150522,18232.02
20150521,18285.74
20150520,18285.40
20150519,18312.39
20150518,18298.88
20150515,18272.56
20150514,18252.24
20150513,18060.49
20150512,18068.23
20150511,18105.17
20150508,18191.11
20150507,17924.06
20150506,17841.98
20150505,17928.20
20150504,18070.40
20150501,18024.06
20150430,17840.52
20150429,18035.53
20150428,18110.14
20150427,18037.97
20150424,18080.14
20150423,18058.69
20150422,18038.27
20150421,17949.59
20150420,18034.93
20150417,17826.30
20150416,18105.77
20150415,18112.61
20150414,18036.70
20150413,17977.04
20150410,18057.65
20150409,17958.73
20150408,17902.51
20150407,17875.42
20150406,17880.85
20150402,17763.24
20150401,17698.18
20150331,17776.12
20150330,17976.31
20150327,17712.66
20150326,17678.23
20150325,17718.54
20150324,18011.14
20150323,18116.04
20150320,18127.65
20150319,17959.03
20150318,18076.19
20150317,17849.08
20150316,17977.42
20150313,17749.31
20150312,17895.22
20150311,17635.39
20150310,17662.94
20150309,17995.72
20150306,17856.78
20150305,18135.72
20150304,18096.90
20150303,18203.37
20150302,18288.63
20150227,18132.70
20150226,18214.42
20150225,18224.57
20150224,18209.19
20150223,18116.84
20150220,18140.44
20150219,17985.77
20150218,18029.85
20150217,18047.58
20150213,18019.35
20150212,17972.38
20150211,17862.14
20150210,17868.76
20150209,17729.21
20150206,17824.29
20150205,17884.88
20150204,17673.02
20150203,17666.40
20150202,17361.04
20150130,17164.95
20150129,17416.85
20150128,17191.37
20150127,17387.21
20150126,17678.70
20150123,17672.60
20150122,17813.98
20150121,17554.28
20150120,17515.23
20150116,17511.57
20150115,17320.71
20150114,17427.09
20150113,17613.68
20150112,17640.84
20150109,17737.37
20150108,17907.87
20150107,17584.52
20150106,17371.64
20150105,17501.65
20150102,17832.99
20141231,17823.07
20141230,17983.07
20141229,18038.23
20141226,18053.71
20141224,18030.21
20141223,18024.17
20141222,17959.44
20141219,17804.80
20141218,17778.15
20141217,17356.87
20141216,17068.87
20141215,17180.84
20141212,17280.83
20141211,17596.34
20141210,17533.15
20141209,17801.20
20141208,17852.48
20141205,17958.79
20141204,17900.10
20141203,17912.62
20141202,17879.55
20141201,17776.80
20141128,17828.24
20141126,17827.75
20141125,17814.94
20141124,17817.90
20141121,17810.06
20141120,17719.00
20141119,17685.73
20141118,17687.82
20141117,17647.75
20141114,17634.74
20141113,17652.79
20141112,17612.20
20141111,17614.90
20141110,17613.74
20141107,17573.93
20141106,17554.47
20141105,17484.53
20141104,17383.84
20141103,17366.24
20141031,17390.52
20141030,17195.42
20141029,16974.31
20141028,17005.75
20141027,16817.94
20141024,16805.41
20141023,16677.90
20141022,16461.32
20141021,16614.81
20141020,16399.67
20141017,16380.41
20141016,16117.24
20141015,16141.74
20141014,16315.19
20141013,16321.07
20141010,16544.10
20141009,16659.25
20141008,16994.22
20141007,16719.39
20141006,16991.91
20141003,17009.69
20141002,16801.05
20141001,16804.71
20140930,17042.90
20140929,17071.22
20140926,17113.15
20140925,16945.80
20140924,17210.06
20140923,17055.87
20140922,17172.68
20140919,17279.74
20140918,17265.99
20140917,17156.85
20140916,17131.97
20140915,17031.14
20140912,16987.51
20140911,17049.00
20140910,17068.71
20140909,17013.87
20140908,17111.42
20140905,17137.36
20140904,17069.58
20140903,17078.28
20140902,17067.56
20140829,17098.45
20140828,17079.57
20140827,17122.01
20140826,17106.70
20140825,17076.87
20140822,17001.22
20140821,17039.49
20140820,16979.13
20140819,16919.59
20140818,16838.74
20140815,16662.91
20140814,16713.58
20140813,16651.80
20140812,16560.54
20140811,16569.98
20140808,16553.93
20140807,16368.27
20140806,16443.34
20140805,16429.47
20140804,16569.28
20140801,16493.37
20140731,16563.30
20140730,16880.36
20140729,16912.11
20140728,16982.59
20140725,16960.57
20140724,17083.80
20140723,17086.63
20140722,17113.54
20140721,17051.73
20140718,17100.18
20140717,16976.81
20140716,17138.20
20140715,17060.68
20140714,17055.42
20140711,16943.81
20140710,16915.07
20140709,16985.61
20140708,16906.62
20140707,17024.21
20140703,17068.26
20140702,16976.24
20140701,16956.07
20140630,16826.60
20140627,16851.84
20140626,16846.13
20140625,16867.51
20140624,16818.13
20140623,16937.26
20140620,16947.08
20140619,16921.46
20140618,16906.62
20140617,16808.49
20140616,16781.01
20140613,16775.74
20140612,16734.19
20140611,16843.88
20140610,16945.92
20140609,16943.10
20140606,16924.28
20140605,16836.11
20140604,16737.53
20140603,16722.34
20140602,16743.63
20140530,16717.17
20140529,16698.74
20140528,16633.18
20140527,16675.50
20140523,16606.27
20140522,16543.08
20140521,16533.06
20140520,16374.31
20140519,16511.86
20140516,16491.31
20140515,16446.81
20140514,16613.97
20140513,16715.44
20140512,16695.47
20140509,16583.34
20140508,16550.97
20140507,16518.54
20140506,16401.02
20140505,16530.55
20140502,16512.89
20140501,16558.87
20140430,16580.84
20140429,16535.37
20140428,16448.74
20140425,16361.46
20140424,16501.65
20140423,16501.65
20140422,16514.37
20140421,16449.25
20140417,16408.54
20140416,16424.85
20140415,16262.56
20140414,16173.24
20140411,16026.75
20140410,16170.22
20140409,16437.18
20140408,16256.14
20140407,16245.87
20140404,16412.71
20140403,16572.55
20140402,16573.00
20140401,16532.61
20140331,16457.66
20140328,16323.06
20140327,16264.23
20140326,16268.99
20140325,16367.88
20140324,16276.69
20140321,16302.77
20140320,16331.05
20140319,16222.17
20140318,16336.19
20140317,16247.22
20140314,16065.67
20140313,16108.89
20140312,16340.08
20140311,16351.25
20140310,16418.68
20140307,16452.72
20140306,16421.89
20140305,16360.18
20140304,16395.88
20140303,16168.03
20140228,16321.71
20140227,16272.65
20140226,16198.41
20140225,16179.66
20140224,16207.14
20140221,16103.30
20140220,16133.23
20140219,16040.56
20140218,16130.40
20140214,16154.39
20140213,16027.59
20140212,15963.94
20140211,15994.77
20140210,15801.79
20140207,15794.08
20140206,15628.53
20140205,15440.23
20140204,15445.24
20140203,15372.80
20140131,15698.85
20140130,15848.61
20140129,15738.79
20140128,15928.56
20140127,15837.88
20140124,15879.11
20140123,16197.35
20140122,16373.34
20140121,16414.44
20140117,16458.56
20140116,16417.01
20140115,16481.94
20140114,16373.86
20140113,16257.94
20140110,16437.05
20140109,16444.76
20140108,16462.74
20140107,16530.94
20140106,16425.10
20140103,16469.99
20140102,16441.35
20131231,16576.66
20131230,16504.29
20131227,16478.41
20131226,16479.88
20131224,16357.55
20131223,16294.61
20131220,16221.14
20131219,16179.08
20131218,16167.97
20131217,15875.26
20131216,15884.57
20131213,15755.36
20131212,15739.43
20131211,15843.53
20131210,15973.13
20131209,16025.53
20131206,16020.20
20131205,15821.51
20131204,15889.77
20131203,15914.62
20131202,16008.77
20131129,16086.41
20131127,16097.33
20131126,16072.80
20131125,16072.54
20131122,16064.77
20131121,16009.99
20131120,15900.82
20131119,15967.03
20131118,15976.02
20131115,15961.70
20131114,15876.22
20131113,15821.63
20131112,15750.67
20131111,15783.10
20131108,15761.78
20131107,15593.98
20131106,15746.88
20131105,15618.22
20131104,15639.12
20131101,15615.55
20131031,15545.75
20131030,15618.76
20131029,15680.35
20131028,15568.93
20131025,15570.28
20131024,15509.21
20131023,15413.33
20131022,15467.66
20131021,15392.20
20131018,15399.65
20131017,15371.65
20131016,15373.83
20131015,15168.01
20131014,15301.26
20131011,15237.11
20131010,15126.07
20131009,14802.98
20131008,14776.53
20131007,14936.24
20131004,15072.58
20131003,14996.48
20131002,15133.14
20131001,15191.70
20130930,15129.67
20130927,15258.24
20130926,15328.30
20130925,15273.26
20130924,15334.59
20130923,15401.38
20130920,15451.09
20130919,15636.55
20130918,15676.94
20130917,15529.73
20130916,15494.78
20130913,15376.06
20130912,15300.64
20130911,15326.60
20130910,15191.06
20130909,15063.12
20130906,14922.50
20130905,14937.48
20130904,14930.87
20130903,14833.96
20130830,14810.31
20130829,14840.95
20130828,14824.51
20130827,14776.13
20130826,14946.46
20130823,15010.51
20130822,14963.74
20130821,14897.55
20130820,15002.99
20130819,15010.74
20130816,15081.47
20130815,15112.19
20130814,15337.66
20130813,15451.01
20130812,15419.68
20130809,15425.51
20130808,15498.32
20130807,15470.67
20130806,15518.74
20130805,15612.13
20130802,15658.36
20130801,15628.02
20130731,15499.54
20130730,15520.59
20130729,15521.97
20130726,15558.83
20130725,15555.61
20130724,15542.24
20130723,15567.74
20130722,15545.55
20130719,15543.74
20130718,15548.54
20130717,15470.52
20130716,15451.85
20130715,15484.26
20130712,15464.30
20130711,15460.92
20130710,15291.66
20130709,15300.34
20130708,15224.69
20130705,15135.84
20130703,14988.55
20130702,14932.41
20130701,14974.96
20130628,14909.60
20130627,15024.49
20130626,14910.14
20130625,14760.31
20130624,14659.56
20130621,14799.40
20130620,14758.32
20130619,15112.19
20130618,15318.23
20130617,15179.85
20130614,15070.18
20130613,15176.08
20130612,14995.23
