data,Último
20150817,47217.43
20150814,47508.41
20150813,48009.57
20150812,48388.05
20150811,49072.34
20150810,49353.00
20150807,48577.32
20150806,50011.32
20150805,50287.27
20150804,50058.49
20150803,50138.05
20150731,50864.77
20150730,49897.40
20150729,50245.15
20150728,49601.60
20150727,48735.54
20150724,49245.84
20150723,49806.62
20150722,50915.78
20150721,51474.28
20150720,51600.07
20150717,52341.80
20150716,53069.75
20150715,52902.28
20150714,53239.17
20150713,53119.47
20150710,52590.72
20150708,51781.74
20150707,52343.71
20150706,52149.37
20150703,52519.40
20150702,53106.18
20150701,52757.53
20150630,53080.88
20150629,53014.21
20150626,54016.97
20150625,53175.66
20150624,53842.53
20150623,53772.43
20150622,53863.67
20150619,53749.41
20150618,54238.59
20150617,53248.54
20150616,53702.15
20150615,53137.53
20150612,53347.53
20150611,53688.51
20150610,53876.44
20150609,52815.99
20150608,52809.63
20150605,52973.37
20150603,53522.90
20150602,54236.43
20150601,53031.31
20150529,52760.47
20150528,53976.27
20150527,54236.25
20150526,53629.78
20150525,54609.25
20150522,54377.29
20150521,55112.05
20150520,54901.02
20150519,55498.82
20150518,56204.23
20150515,57248.63
20150514,56656.57
20150513,56372.04
20150512,56792.05
20150511,57197.10
20150508,57149.33
20150507,56921.39
20150506,57103.14
20150505,58051.61
20150504,57353.98
20150430,56229.38
20150429,55325.29
20150428,55812.03
20150427,55534.50
20150424,56594.22
20150423,55684.85
20150422,54617.36
20150420,53761.27
20150417,53954.79
20150416,54674.21
20150415,54918.74
20150414,53981.92
20150413,54239.77
20150410,54214.11
20150409,53802.66
20150408,53661.11
20150407,53729.16
20150406,53737.26
20150402,53123.02
20150401,52321.76
20150331,51150.16
20150330,51243.45
20150327,50094.66
20150326,50579.85
20150325,51858.30
20150324,51506.07
20150323,51908.46
20150320,51966.58
20150319,50953.53
20150318,51526.19
20150317,50285.12
20150316,48848.21
20150313,48595.81
20150312,48880.40
20150311,48905.58
20150310,48293.40
20150309,49181.01
20150306,49981.19
20150305,50365.20
20150304,50468.05
20150303,51304.10
20150302,51020.81
20150227,51583.09
20150226,51760.54
20150225,51811.02
20150224,51874.17
20150223,51280.64
20150220,51237.70
20150219,51294.03
20150218,51280.36
20150213,50635.92
20150212,49532.72
20150211,48239.67
20150210,48510.28
20150209,49382.58
20150206,48792.27
20150205,49233.85
20150204,49301.05
20150203,48963.66
20150202,47650.73
20150130,46907.68
20150129,47762.24
20150128,47694.54
20150127,48591.23
20150126,48576.55
20150123,48775.30
20150122,49442.62
20150121,49224.08
20150120,47876.66
20150119,47758.01
20150116,49016.52
20150115,48026.31
20150114,47645.87
20150113,48041.67
20150112,48139.74
20150109,48840.25
20150108,49943.30
20150107,49462.91
20150106,48000.92
20150105,47516.82
20150102,48512.22
20141230,50007.41
20141229,50593.82
20141226,50144.63
20141223,50889.81
20141222,50120.86
20141219,49650.98
20141218,48495.70
20141217,48713.64
20141216,47007.51
20141215,47018.68
20141212,48001.98
20141211,49861.81
20141210,49548.08
20141209,50193.47
20141208,50274.07
20141205,51992.89
20141204,51426.87
20141203,52320.48
20141202,51612.47
20141201,52276.58
20141128,54724.00
20141127,54721.32
20141126,55098.47
20141125,55560.81
20141124,55406.91
20141121,56084.04
20141119,53402.81
20141118,52061.86
20141117,51256.99
20141114,51772.40
20141113,51846.03
20141112,52978.89
20141111,52474.27
20141110,52725.38
20141107,53222.85
20141106,52637.06
20141105,53698.42
20141104,54383.59
20141103,53947.21
20141031,54628.60
20141030,52336.83
20141029,51049.32
20141028,52330.03
20141027,50503.66
20141024,51940.73
20141023,50713.26
20141022,52411.03
20141021,52432.43
20141020,54302.57
20141017,55723.79
20141016,54298.33
20141015,56135.27
20141014,58015.46
20141013,57956.53
20141010,55311.59
20141009,57267.53
20141008,57058.48
20141007,57436.33
20141006,57115.90
20141003,54539.55
20141002,53518.57
20141001,52858.43
20140930,54115.98
20140929,54625.35
20140926,57212.38
20140925,55962.08
20140924,56824.42
20140923,56540.50
20140922,56818.11
20140919,57788.70
20140918,58374.48
20140917,59108.19
20140916,59114.66
20140915,57948.76
20140912,56927.81
20140911,58337.29
20140910,58198.66
20140909,58676.34
20140908,59192.75
20140905,60681.98
20140904,60800.02
20140903,61837.04
20140902,61895.98
20140901,61141.27
20140829,61288.15
20140828,60290.87
20140827,60950.57
20140826,59821.45
20140825,59735.17
20140822,58407.32
20140821,58992.11
20140820,58878.24
20140819,58449.29
20140818,57560.72
20140815,56963.65
20140814,55780.41
20140813,55581.19
20140812,56442.34
20140811,56613.32
20140808,55572.93
20140807,56188.05
20140806,56487.18
20140805,56202.10
20140804,56616.33
20140801,55902.87
20140731,55829.41
20140730,56877.97
20140729,57118.81
20140728,57695.72
20140725,57821.08
20140724,57977.56
20140723,57419.96
20140722,57983.32
20140721,57633.92
20140718,57012.90
20140717,55637.51
20140716,55717.36
20140715,55973.61
20140714,55743.98
20140711,54785.93
20140710,54592.75
20140708,53634.69
20140707,53801.83
20140704,54055.90
20140703,53874.58
20140702,53028.78
20140701,53171.49
20140630,53168.22
20140627,53157.30
20140626,53506.75
20140625,53425.74
20140624,54280.78
20140623,54210.05
20140620,54638.19
20140618,55202.54
20140617,54299.95
20140616,54629.55
20140613,54806.64
20140611,55102.44
20140610,54604.34
20140609,54273.16
20140606,53128.66
20140605,51558.79
20140604,51832.98
20140603,52032.38
20140602,51605.83
20140530,51239.34
20140529,52239.34
20140528,52639.75
20140527,52173.98
20140526,52932.91
20140523,52626.41
20140522,52806.22
20140521,52203.37
20140520,52366.19
20140519,53353.10
20140516,53975.76
20140515,53855.54
20140514,54412.54
20140513,53907.46
20140512,54052.90
20140509,53100.34
20140508,53422.37
20140507,54052.74
20140506,53779.74
20140505,53446.17
20140502,52980.31
20140430,51626.69
20140429,51838.61
20140428,51383.68
20140425,51399.35
20140424,51817.45
20140423,51569.69
20140422,51976.86
20140417,52111.85
20140416,51200.56
20140415,50454.35
20140414,51596.55
20140411,51867.29
20140410,51127.48
20140409,51185.40
20140408,51629.07
20140407,52155.28
20140404,51081.78
20140403,51408.21
20140402,51701.05
20140401,50270.37
20140331,50414.92
20140328,49768.06
20140327,49646.79
20140326,47965.61
20140325,48180.14
20140324,47993.42
20140321,47380.94
20140320,47278.48
20140319,46567.23
20140318,46150.96
20140317,45117.80
20140314,44965.66
20140313,45443.83
20140312,45861.81
20140311,45697.62
20140310,45533.20
20140307,46244.07
20140306,47093.13
20140305,46589.00
20140228,47094.40
20140227,47606.75
20140226,46599.21
20140225,46715.91
20140224,47393.50
20140221,47380.24
20140220,47288.61
20140219,47150.83
20140218,46599.76
20140217,47576.33
20140214,48201.11
20140213,47812.83
20140212,48216.89
20140211,48462.79
20140210,47710.82
20140207,48073.60
20140206,47738.09
20140205,46624.39
20140204,46964.22
20140203,46147.52
20140131,47638.99
20140130,47244.26
20140129,47556.78
20140128,47840.93
20140127,47701.05
20140124,47787.38
20140123,48320.64
20140122,49299.66
20140121,48542.07
20140120,48708.41
20140117,49181.86
20140116,49696.28
20140115,50105.37
20140114,49703.10
20140113,49426.90
20140110,49696.45
20140109,49321.68
20140108,50576.64
20140107,50430.02
20140106,50973.62
20140103,50981.09
20140102,50341.25
20131230,51507.16
20131227,51266.56
20131226,51221.01
20131223,51356.10
20131220,51185.74
20131219,51633.43
20131218,50563.43
20131217,50090.35
20131216,50279.61
20131213,50051.18
20131212,50121.61
20131211,50067.99
20131210,50993.02
20131209,51165.38
20131206,50944.27
20131205,50787.63
20131204,50215.79
20131203,50348.89
20131202,51244.87
20131129,52482.49
20131128,51846.83
20131127,51861.21
20131126,51446.91
20131125,52263.51
20131122,52800.74
20131121,52688.02
20131119,53032.91
20131118,54307.04
20131114,53451.60
20131113,52230.29
20131112,51804.33
20131111,52623.87
20131108,52248.86
20131107,52740.79
20131106,53384.60
20131105,53831.85
20131104,54436.92
20131101,54013.24
20131031,54256.20
20131030,54172.82
20131029,54538.80
20131028,55073.37
20131025,54154.15
20131024,54877.15
20131023,55440.03
20131022,56460.38
20131021,56077.43
20131018,55378.46
20131017,55358.13
20131016,55973.03
20131015,54980.64
20131014,54170.60
20131011,53149.62
20131010,52996.64
20131009,52547.71
20131008,52312.44
20131007,52417.10
20131004,52848.97
20131003,52489.86
20131002,53100.18
20131001,53179.46
20130930,52338.19
20130927,53738.92
20130926,53782.97
20130925,54261.11
20130924,54431.05
20130923,54602.38
20130920,54110.03
20130919,55095.69
20130918,55702.90
20130917,54271.25
20130916,53821.63
20130913,53797.51
20130912,53307.09
20130911,53570.46
20130910,53979.03
20130909,54251.85
20130906,53749.42
20130905,52351.86
20130904,51716.16
20130903,51625.50
20130902,51835.15
20130830,50011.75
20130829,49921.88
20130828,49866.92
20130827,50091.55
20130826,51429.48
20130823,52197.06
20130822,51397.66
20130821,50405.20
20130820,50507.02
20130819,51574.09
20130816,51538.78
20130815,50908.34
20130814,50895.92
20130813,50600.55
20130812,50299.49
20130809,49874.90
20130808,48928.82
20130807,47446.71
20130806,47421.85
20130805,48436.44
20130802,48474.04
20130801,49140.78
20130731,48234.49
20130730,48561.78
20130729,49212.33
20130726,49422.05
20130725,49066.75
20130724,48374.23
20130723,48819.52
20130722,48574.09
20130719,47400.23
20130718,47656.92
20130717,47407.31
20130716,46869.29
20130715,46738.90
20130712,45533.24
20130711,46626.26
20130710,45483.43
20130708,45075.50
20130705,45210.49
20130704,45763.16
20130703,45044.03
20130702,45228.95
20130701,47229.59
20130628,47457.13
20130627,47609.46
20130626,47171.98
20130625,46893.04
20130624,45965.05
20130621,47056.04
20130620,48214.43
20130619,47893.06
20130618,49464.94
20130617,49088.65
20130614,49332.34
20130613,50414.89
20130612,49180.58
20130611,49769.93
20130610,51316.65
20130607,51618.63
20130606,52884.83
20130605,52798.63
20130604,54017.90
20130603,53944.36
20130531,53506.08
20130529,54634.69
20130528,56036.26
20130527,56395.94
20130524,56406.21
20130523,56349.91
20130522,56429.27
20130521,56265.32
20130520,55700.77
20130517,55164.27
20130516,54772.62
20130515,54936.41
20130514,54666.82
20130513,54447.77
20130510,55107.80
20130509,55447.56
20130508,55804.80
20130507,56274.66
20130506,55429.88
20130503,55488.08
20130502,55321.93
20130430,55910.37
20130429,54887.25
20130426,54252.04
20130425,54963.32
20130424,54984.23
20130423,54884.75
20130422,54297.73
20130419,53928.92
20130418,53165.91
20130417,52881.96
20130416,53990.83
20130415,52949.93
20130412,54962.65
20130411,55400.91
20130410,56186.56
20130409,55912.04
20130408,55092.31
20130405,55050.60
20130404,54648.15
20130403,55562.74
20130402,54889.10
20130401,55902.18
20130328,56352.09
20130327,56034.29
20130326,55671.39
20130325,54873.12
20130322,55243.40
20130321,55576.67
20130320,56030.03
20130319,56361.24
20130318,56972.96
20130315,56869.28
20130314,57281.02
20130313,57385.90
20130312,58208.61
20130311,58544.79
20130308,58432.75
20130307,58846.81
20130306,57940.14
20130305,55950.73
20130304,56499.17
20130301,56883.99
20130228,57424.29
20130227,57273.88
20130226,56948.87
20130225,56617.56
20130222,56697.06
20130221,56154.68
20130220,56177.60
20130219,57314.40
20130218,57613.90
20130215,57903.30
20130214,58077.31
20130213,58405.74
20130208,58497.83
20130207,58372.46
20130206,58951.07
20130205,59444.97
20130204,59575.66
20130201,60351.16
20130131,59761.49
20130130,59336.70
20130129,60406.33
20130128,60027.07
20130124,61169.83
20130123,61966.26
20130122,61692.29
20130121,61899.71
20130118,61956.14
20130117,62194.06
20130116,61787.35
20130115,61727.61
20130114,62080.79
20130111,61497.43
20130110,61678.31
20130109,61578.58
20130108,61127.84
20130107,61932.54
20130104,62523.06
20130103,63312.46
20130102,62550.10
